"nom_mun","edad","pob_tot","pob_h","pob_m","CVEGEO"
"Atizapán","8 Años",278,141,137,"15 012"
"Atizapán","9 Años",233,101,132,"15 012"
"Atizapán","10 Años",332,169,163,"15 012"
"Atizapán","11 Años",240,130,110,"15 012"
"Atizapán","12 Años",282,139,143,"15 012"
"Atizapán","13 Años",254,121,133,"15 012"
"Atizapán","14 Años",251,128,123,"15 012"
"Atizapán","15 Años",253,122,131,"15 012"
"Atizapán","16 Años",238,106,132,"15 012"
"Atizapán","17 Años",259,124,135,"15 012"
"Atizapán","18 Años",242,116,126,"15 012"
"Atizapán","19 Años",229,117,112,"15 012"
"Atizapán","20 Años",238,107,131,"15 012"
"Atizapán","21 Años",202,99,103,"15 012"
"Atizapán","22 Años",218,103,115,"15 012"
"Atizapán","23 Años",220,106,114,"15 012"
"Atizapán","24 Años",208,99,109,"15 012"
"Atizapán de Zaragoza","Total",523674,253429,270245,"15 013"
"Atizapán de Zaragoza","3 Años",7456,3733,3723,"15 013"
"Atizapán de Zaragoza","4 Años",7659,3858,3801,"15 013"
"Atizapán de Zaragoza","5 Años",7921,4018,3903,"15 013"
"Atizapán de Zaragoza","6 Años",7054,3531,3523,"15 013"
"Atizapán de Zaragoza","7 Años",7276,3741,3535,"15 013"
"Atizapán de Zaragoza","8 Años",7479,3733,3746,"15 013"
"Atizapán de Zaragoza","9 Años",6987,3519,3468,"15 013"
"Atizapán de Zaragoza","10 Años",8050,4157,3893,"15 013"
"Atizapán de Zaragoza","11 Años",7202,3629,3573,"15 013"
"Atizapán de Zaragoza","12 Años",7915,4163,3752,"15 013"
"Atizapán de Zaragoza","13 Años",7433,3675,3758,"15 013"
"Atizapán de Zaragoza","14 Años",7514,3705,3809,"15 013"
"Atizapán de Zaragoza","15 Años",7973,4018,3955,"15 013"
"Atizapán de Zaragoza","16 Años",7608,3880,3728,"15 013"
"Atizapán de Zaragoza","17 Años",8216,4220,3996,"15 013"
"Atizapán de Zaragoza","18 Años",8713,4468,4245,"15 013"
"Atizapán de Zaragoza","19 Años",7423,3642,3781,"15 013"
"Atizapán de Zaragoza","20 Años",8991,4475,4516,"15 013"
"Atizapán de Zaragoza","21 Años",7336,3785,3551,"15 013"
"Atizapán de Zaragoza","22 Años",8333,4156,4177,"15 013"
"Atizapán de Zaragoza","23 Años",7801,3889,3912,"15 013"
"Atizapán de Zaragoza","24 Años",7983,3969,4014,"15 013"
"Atlacomulco","Total",109384,52218,57166,"15 014"
"Atlacomulco","3 Años",2118,1069,1049,"15 014"
