"nom_mun","edad","pob_tot","pob_h","pob_m"
"Atizapán de Zaragoza","5 Años",7921,4018,3903
"Atizapán de Zaragoza","6 Años",7054,3531,3523
"Atizapán de Zaragoza","7 Años",7276,3741,3535
"Atizapán de Zaragoza","8 Años",7479,3733,3746
"Atizapán de Zaragoza","9 Años",6987,3519,3468
"Atizapán de Zaragoza","10 Años",8050,4157,3893
"Atizapán de Zaragoza","11 Años",7202,3629,3573
"Atizapán de Zaragoza","12 Años",7915,4163,3752
"Atizapán de Zaragoza","13 Años",7433,3675,3758
"Atizapán de Zaragoza","14 Años",7514,3705,3809
"Atizapán de Zaragoza","15 Años",7973,4018,3955
"Atizapán de Zaragoza","16 Años",7608,3880,3728
"Atizapán de Zaragoza","17 Años",8216,4220,3996
"Atizapán de Zaragoza","18 Años",8713,4468,4245
"Atizapán de Zaragoza","19 Años",7423,3642,3781
"Atizapán de Zaragoza","20 Años",8991,4475,4516
"Atizapán de Zaragoza","21 Años",7336,3785,3551
"Atizapán de Zaragoza","22 Años",8333,4156,4177
"Atizapán de Zaragoza","23 Años",7801,3889,3912
"Atizapán de Zaragoza","24 Años",7983,3969,4014
"Atlacomulco","Total",109384,52218,57166
"Atlacomulco","3 Años",2118,1069,1049
"Atlacomulco","4 Años",2042,1066,976
"Atlacomulco","5 Años",2025,1025,1000
"Atlacomulco","6 Años",2010,996,1014
"Atlacomulco","7 Años",2094,1044,1050
"Atlacomulco","8 Años",2223,1099,1124
"Atlacomulco","9 Años",2089,1026,1063
"Atlacomulco","10 Años",2319,1189,1130
"Atlacomulco","11 Años",2040,1016,1024
"Atlacomulco","12 Años",2248,1138,1110
"Atlacomulco","13 Años",2156,1077,1079
"Atlacomulco","14 Años",2171,1046,1125
"Atlacomulco","15 Años",2256,1111,1145
"Atlacomulco","16 Años",2076,1067,1009
"Atlacomulco","17 Años",2147,1117,1030
"Atlacomulco","18 Años",2232,1106,1126
"Atlacomulco","19 Años",1816,913,903
"Atlacomulco","20 Años",2237,1053,1184
"Atlacomulco","21 Años",1726,876,850
"Atlacomulco","22 Años",1915,949,966
"Atlacomulco","23 Años",1817,902,915
"Atlacomulco","24 Años",1833,874,959
"Atlautla","Total",31900,15585,16315
"Atlautla","3 Años",545,258,287
"Atlautla","4 Años",590,305,285
"Atlautla","5 Años",625,351,274
"Atlautla","6 Años",577,305,272
"Atlautla","7 Años",560,289,271
"Atlautla","8 Años",627,324,303
"Atlautla","9 Años",579,283,296
"Atlautla","10 Años",641,336,305
"Atlautla","11 Años",514,260,254
"Atlautla","12 Años",651,338,313
"Atlautla","13 Años",526,255,271
"Atlautla","14 Años",549,235,314
"Atlautla","15 Años",565,300,265
"Atlautla","16 Años",608,297,311
"Atlautla","17 Años",587,295,292
"Atlautla","18 Años",585,304,281
"Atlautla","19 Años",525,280,245
"Atlautla","20 Años",596,304,292
"Atlautla","21 Años",467,216,251
"Atlautla","22 Años",617,329,288
"Atlautla","23 Años",529,254,275
"Atlautla","24 Años",549,283,266
"Axapusco","Total",29128,14287,14841
"Axapusco","3 Años",495,235,260
